CCNO,CCNAME
1,GOLARCHI
3,"PQ, GODOWN"
2,FAHAD KHOSO (GARIBSONS)
4,"PQ, MILL"
5,D 67 - 71
6,PADDY HUSKING
8,WHEAT TRADING
9,MDF
7,RICE-IRRI
10,GEN
11,RICE-BASMATI
12,RICE BRAN-FLOUR
13,HDF
14,GHAROO RICE UNIT
15,PMC TRADING
16,SHEIKHUPURA 1
17,SILVER MILL (GHAGAR PHATAK)
18,CORN
19,FLOUR WHEAT
20,OWN RICE MILL
21,DATARI RICE MILL
22,DIRECT DELIVERY
23,FLOUR MILL
24,UTILITY STORE
25,GHAROO BRAN UNIT
26,GHAROO SILO UNIT
27,B-69 MUGHAL GODOWN
28,MUGHAL RICE (LRS)
29,TEMP
128,MUGHAL - LOCAL SALE UNIT
129,LAHORE WAREHOUSE (MUGHAL)
130,HYBRID SEED
131,KOT PINDI DAS
132,CHAUBARA
133,COLD STORAGE GHARO
134,COLD STORAGE MAYMAR
135,GOLARCHI SEED GODOWN
136,CHOWK AZAM
137,HUSK EXPORT
138,GLOBAL EXPORT RICE MILL
139,BABAR KANTA
140,TOFEE TV
141,GHAROO PADDY UNIT
142,WHEAT FLOUR MILLS
143,YELLOW PEAS
144,TILL HYBRID - SESAMESEEDS
145,RED LENTILS
146,MARKETING
147,PP PLANT
