CODE,DESCRIPTION
5278,LC 0054LCS231509 MCB LONGI SOLAR 585/590W 3600 PCS $304K
5279,LC 0054LCS231550 MCB LONGI SOLAR 580W 3600 PCS $301K
5280,LC/01/030/1396 HMBL JA SOLAR 3720 PCS 550W $282K
5281,LC/01/030/1397 HMBL JA SOLAR 3720 PCS 550W $282K
5282,LC 23INSU0115-02649 MBL AKEMA SLIKA GEL 45MT $46K
5283,FAST SOLUTION - MDF AC
5284,EROSE MILL STORES
5285,CRYSTAL GLOBAL SHIPPING
5286,AJWA C/O ARIF ZAKARIA (OTHERS)
5287,TARIQ - GST CONSULTANT
5288,RAAZIQ INTERNATIONAL (PRIVATE) LIMITED - SHIPPING
5289,SHAHID BROKER - KARACHI
5290,FAHAD FARM
5291,BAZAAR TECHNOLOGIES PVT LTD - VENDOR AC
5292,THE PREMIER SALT - MDF
5293,HUSK SALE - ZG AC
5294,"BITIME LLC, RUSSIA"
5295,MADINA TRADERS - SUKKUR
5296,"LEADER GRAIN HK LTD, VIETNAM"
5338,LC24INSU0115-00051 MBL WHEAT 5500MT $1.55M MV INCE EGE 11TH VESSEL
5298,TASAMARINE & LOGISTICS
5299,LC1090/SLC/3462/23 BIP WHEAT 5500MT 9TH VESSEL MV BEKS SKY
5300,LC1090/SLC/3558/23 BIP WHEAT 5500MT 10TH VESSEL MV BEKS NAZIK-II
5301,LC 23INSU0115-02826 MBL LONGI SOLAR 585W 3600 PCS $288.5K
5302,LC 23INSU0115-02827 MBL LONGI SOLAR 585W 3600 PCS $288.5K
5303,LC 415010737990-L SCB LONGI SOLAR 580/585W 3600 PCS $295.4K
5304,LC 415010738007-L SCB LONGI SOLAR 585W 3600 PCS $297K
5305,LC 415010738016-L SCB LONGI SOLAR 580W 3600 PCS $294K
5306,LC 3001LSI308523 FBL LONGI SOLAR 585W 3600 PCS $297K
5307,LC 3001LSI308423 FBL LONGI SOLAR 585W 3600 PCS $297K
5308,LC 1090/SLC/3334/23 BIP LONGI SOLAR 585W 3600 PCS $288.5K
5309,LC 1090/SLC/3335/23 BIP LONGI SOLAR 585W 3600 PCS $288.5K
5310,LC/01/030/1415 HMB LONGI SOLAR 585W 3600 PCS $288.5K
5311,LC-0054LCS231638 MCB LONGI SOLAR 585W 3600 PCS $288.5K
5312,LC-0054LCS231643 MCB LONGI SOLAR 580W 3600 PCS $286K
5313,LC/01/030/1423 HMB LONGI SOLAR 580W 3600 PCS $286K
5314,LC/01/030/1432 HMB LONGI SOLAR 555W 3100 PCS $220K
5315,USC KARACHI NORTH & SOUTH CONSOLIDATED
5297,FLORA SERVICES - FUMIGATION
5316,BOK RF AC - 2009265767
5317,DHA PROPERTY PHASE-5 (DEC-23)
5318,"ADITYA BIRLA GLOBAL TRADING, MOZAMBIQUE"
5319,MM/RF/FE25 LOAN AC - BOK
5320,PORTSTAR ENTERPRISES - STEVEDORING
