Unique ID,Sub Variety,ITEM NAME
Bp1,Super White,FINISHED GOODS
Bp2,Super White,B-Q
Bp3,Super White,B-1
Bp4,Super White,B-2
Bp5,Super White,B-2 CSR
Bp6,Super White,B-3
Bp7,Super White,CSR
Bp8,Super White,PADDY
Bp9,Super White,CHOBA
Bp10,Super White,RICE POLISH
Bp11,Super White,DUST
Bp12,Super White,EMPTY BAGS WEIGHT
Bp13,Super White,EXCESS EXPORT
Bp14,Super White,WEIGHT LOSS
Bp15,Super White,FINISHED GOODS BROWN TO WHITE
Bp16,Super White,CSR H/R BROWN TO WHITE
Bp17,Super Sela,FINISHED GOODS
Bp18,Super Sela,B-Q
Bp19,Super Sela,B-1
Bp20,Super Sela,B-2
Bp21,Super Sela,B-2 CSR
Bp22,Super Sela,B-3
Bp23,Super Sela,CSR
Bp24,Super Sela,PADDY
Bp25,Super Sela,CHOBA
Bp26,Super Sela,RICE POLISH
Bp27,Super Sela,DUST
Bp28,Super Sela,EMPTY BAGS WEIGHT
Bp29,Super Sela,EXCESS EXPORT
Bp30,Super Sela,WEIGHT LOSS
Bp31,Super Steam,FINISHED GOODS
Bp32,Super Steam,B-Q
Bp33,Super Steam,B-1
Bp34,Super Steam,B-2
Bp35,Super Steam,B-2 CSR
Bp36,Super Steam,B-3
Bp37,Super Steam,CSR
Bp38,Super Steam,PADDY
Bp39,Super Steam,CHOBA
Bp40,Super Steam,RICE POLISH
Bp41,Super Steam,DUST
Bp42,Super Steam,EMPTY BAGS WEIGHT
Bp43,Super Steam,EXCESS EXPORT
Bp44,Super Steam,WEIGHT LOSS
Bp45,1121 White,FINISHED GOODS
Bp46,1121 White,B-Q
Bp47,1121 White,B-1
Bp48,1121 White,B-2
Bp49,1121 White,B-2 CSR
Bp50,1121 White,B-3
Bp51,1121 White,CSR
Bp52,1121 White,PADDY
Bp53,1121 White,CHOBA
Bp54,1121 White,RICE POLISH
Bp55,1121 White,DUST
Bp56,1121 White,EMPTY BAGS WEIGHT
Bp57,1121 White,EXCESS EXPORT
Bp58,1121 White,WEIGHT LOSS
Bp59,1121 Sela,FINISHED GOODS
Bp60,1121 Sela,B-Q
Bp61,1121 Sela,B-1
Bp62,1121 Sela,B-2
Bp63,1121 Sela,B-2 CSR
Bp64,1121 Sela,B-3
Bp65,1121 Sela,CSR
Bp66,1121 Sela,PADDY
Bp67,1121 Sela,CHOBA
Bp68,1121 Sela,RICE POLISH
Bp69,1121 Sela,DUST
Bp70,1121 Sela,EMPTY BAGS WEIGHT
Bp71,1121 Sela,EXCESS EXPORT
Bp72,1121 Sela,WEIGHT LOSS
Bp73,1121 Steam,FINISHED GOODS
Bp74,1121 Steam,B-Q
Bp75,1121 Steam,B-1
Bp76,1121 Steam,B-2
Bp77,1121 Steam,B-2 CSR
Bp78,1121 Steam,B-3
Bp79,1121 Steam,CSR
Bp80,1121 Steam,PADDY
Bp81,1121 Steam,CHOBA
Bp82,1121 Steam,RICE POLISH
Bp83,1121 Steam,DUST
Bp84,1121 Steam,EMPTY BAGS WEIGHT
Bp85,1121 Steam,EXCESS EXPORT
Bp86,1121 Steam,WEIGHT LOSS
Bp87,1509 White,FINISHED GOODS
Bp88,1509 White,B-Q
Bp89,1509 White,B-1
Bp90,1509 White,B-2
Bp91,1509 White,B-2 CSR
Bp92,1509 White,B-3
Bp93,1509 White,CSR
Bp94,1509 White,PADDY
Bp95,1509 White,CHOBA
Bp96,1509 White,RICE POLISH
Bp97,1509 White,DUST
Bp98,1509 White,EMPTY BAGS WEIGHT
Bp99,1509 White,EXCESS EXPORT
Bp100,1509 White,WEIGHT LOSS
Bp101,1509 Sela,FINISHED GOODS
Bp102,1509 Sela,B-Q
Bp103,1509 Sela,B-1
Bp104,1509 Sela,B-2
Bp105,1509 Sela,B-2 CSR
Bp106,1509 Sela,B-3
Bp107,1509 Sela,CSR
Bp108,1509 Sela,PADDY
Bp109,1509 Sela,CHOBA
Bp110,1509 Sela,RICE POLISH
Bp111,1509 Sela,DUST
Bp112,1509 Sela,EMPTY BAGS WEIGHT
Bp113,1509 Sela,EXCESS EXPORT
Bp114,1509 Sela,WEIGHT LOSS
Bp115,1509 Steam,FINISHED GOODS
Bp116,1509 Steam,B-Q
Bp117,1509 Steam,B-1
Bp118,1509 Steam,B-2
Bp119,1509 Steam,B-2 CSR
Bp120,1509 Steam,B-3
Bp121,1509 Steam,CSR
Bp122,1509 Steam,PADDY
Bp123,1509 Steam,CHOBA
Bp124,1509 Steam,RICE POLISH
Bp125,1509 Steam,DUST
Bp126,1509 Steam,EMPTY BAGS WEIGHT
Bp127,1509 Steam,EXCESS EXPORT
Bp128,1509 Steam,WEIGHT LOSS
Bp129,Super Chanab White,FINISHED GOODS
Bp130,Super Chanab White,B-Q
Bp131,Super Chanab White,B-1
Bp132,Super Chanab White,B-2
Bp133,Super Chanab White,B-2 CSR
Bp134,Super Chanab White,B-3
Bp135,Super Chanab White,CSR
Bp136,Super Chanab White,PADDY
Bp137,Super Chanab White,CHOBA
Bp138,Super Chanab White,RICE POLISH
Bp139,Super Chanab White,DUST
Bp140,Super Chanab White,EMPTY BAGS WEIGHT
Bp141,Super Chanab White,EXCESS EXPORT
Bp142,Super Chanab White,WEIGHT LOSS
Bp143,Super Chanab Sela,FINISHED GOODS
Bp144,Super Chanab Sela,B-Q
Bp145,Super Chanab Sela,B-1
Bp146,Super Chanab Sela,B-2
Bp147,Super Chanab Sela,B-2 CSR
Bp148,Super Chanab Sela,B-3
Bp149,Super Chanab Sela,CSR
Bp150,Super Chanab Sela,PADDY
Bp151,Super Chanab Sela,CHOBA
Bp152,Super Chanab Sela,RICE POLISH
Bp153,Super Chanab Sela,DUST
Bp154,Super Chanab Sela,EMPTY BAGS WEIGHT
Bp155,Super Chanab Sela,EXCESS EXPORT
Bp156,Super Chanab Sela,WEIGHT LOSS
Bp157,Super Chanab Steam,FINISHED GOODS
Bp158,Super Chanab Steam,B-Q
Bp159,Super Chanab Steam,B-1
Bp160,Super Chanab Steam,B-2
Bp161,Super Chanab Steam,B-2 CSR
Bp162,Super Chanab Steam,B-3
Bp163,Super Chanab Steam,CSR
Bp164,Super Chanab Steam,PADDY
Bp165,Super Chanab Steam,CHOBA
Bp166,Super Chanab Steam,RICE POLISH
Bp167,Super Chanab Steam,DUST
Bp168,Super Chanab Steam,EMPTY BAGS WEIGHT
Bp169,Super Chanab Steam,EXCESS EXPORT
Bp170,Super Chanab Steam,WEIGHT LOSS
Bp171,D-98 White,FINISHED GOODS
Bp172,D-98 White,B-Q
Bp173,D-98 White,B-1
Bp174,D-98 White,B-2
Bp175,D-98 White,B-2 CSR
Bp176,D-98 White,B-3
Bp177,D-98 White,CSR
Bp178,D-98 White,PADDY
Bp179,D-98 White,CHOBA
Bp180,D-98 White,RICE POLISH
Bp181,D-98 White,DUST
Bp182,D-98 White,EMPTY BAGS WEIGHT
Bp183,D-98 White,EXCESS EXPORT
Bp184,D-98 White,WEIGHT LOSS
Bp185,D-98 Sela,FINISHED GOODS
Bp186,D-98 Sela,B-Q
Bp187,D-98 Sela,B-1
Bp188,D-98 Sela,B-2
Bp189,D-98 Sela,B-2 CSR
Bp190,D-98 Sela,B-3
Bp191,D-98 Sela,CSR
Bp192,D-98 Sela,PADDY
Bp193,D-98 Sela,CHOBA
Bp194,D-98 Sela,RICE POLISH
Bp195,D-98 Sela,DUST
Bp196,D-98 Sela,EMPTY BAGS WEIGHT
Bp197,D-98 Sela,EXCESS EXPORT
Bp198,D-98 Sela,WEIGHT LOSS
Bp199,D-98 Steam,FINISHED GOODS
Bp200,D-98 Steam,B-Q
Bp201,D-98 Steam,B-1
