Material ID,Category,Sub Category,Variety,White/Brown,Sub Variety,Item Year
Rm001,Rice,Basmati,Super,White,Super White,Raw (23-24)
Rm002,Rice,Basmati,Super,White,Super White,Raw (24-25)
Rm003,Rice,Basmati,Super,White,Super Sela,Raw (23-24)
Rm004,Rice,Basmati,Super,White,Super Sela,Raw (24-25)
Rm005,Rice,Basmati,Super,White,Super Steam,Raw (23-24)
Rm006,Rice,Basmati,Super,White,Super Steam,Raw (24-25)
Rm007,Rice,Basmati,Super,Brown,Super Punjab Brown,Raw (23-24)
Rm008,Rice,Basmati,Super,Brown,Super Punjab Brown,Raw (24-25)
Rm009,Rice,Basmati,Super,Brown,Super Sindh Brown,Raw (23-24)
Rm010,Rice,Basmati,Super,Brown,Super Sindh Brown,Raw (24-25)
Rm011,Rice,Basmati,Super,Brown,Super Brown Sela,Raw (23-24)
Rm012,Rice,Basmati,Super,Brown,Super Brown Sela,Raw (24-25)
Rm013,Rice,Basmati,Super,Brown,Super Brown Steam,Raw (23-24)
Rm014,Rice,Basmati,Super,Brown,Super Brown Steam,Raw (24-25)
Rm015,Rice,Basmati,1121,White,1121 White,Raw (23-24)
Rm016,Rice,Basmati,1121,White,1121 White,Raw (24-25)
Rm017,Rice,Basmati,1121,White,1121 Sela,Raw (23-24)
Rm018,Rice,Basmati,1121,White,1121 Sela,Raw (24-25)
Rm019,Rice,Basmati,1121,White,1121 Steam,Raw (23-24)
Rm020,Rice,Basmati,1121,White,1121 Steam,Raw (24-25)
Rm021,Rice,Basmati,1121,Brown,1121 Brown,Raw (23-24)
Rm022,Rice,Basmati,1121,Brown,1121 Brown,Raw (24-25)
Rm023,Rice,Basmati,1121,Brown,1121 Brown Sela,Raw (23-24)
Rm024,Rice,Basmati,1121,Brown,1121 Brown Sela,Raw (24-25)
Rm025,Rice,Basmati,1121,Brown,1121 Brown Steam,Raw (23-24)
Rm026,Rice,Basmati,1121,Brown,1121 Brown Steam,Raw (24-25)
Rm027,Rice,Basmati,1509,White,1509 White,Raw (23-24)
Rm028,Rice,Basmati,1509,White,1509 White,Raw (24-25)
Rm029,Rice,Basmati,1509,White,1509 Sela,Raw (23-24)
Rm030,Rice,Basmati,1509,White,1509 Sela,Raw (24-25)
