ID,Supplier
Sup1,GOOD LUCK BROKER-
Sup2,FAMOUS COMMISSION SHOP-
Sup3,JAVED JILANI (CREDITORS)-
Sup4,LAL BROKER-
Sup5,S.S.D-
Sup6,RELIANCE INTERNATIONAL-
Sup7,ASHFAQ GHAFFAR (IRRI-6)-
Sup8,HAMDARD BROKER-
Sup9,SILVER RICE PROCESSING MILLS (RICE)-
Sup10,GHARO RICE TRANSFER GS AC (IRRI-6)-
Sup11,PRIME BROKER-
Sup12,MEHRAN RICE BROKER (UMESH)-
Sup13,AMIN GHULAM HUSSAIN-
Sup14,ILLAHI BUX BROKER-
Sup15,INTERNATIONAL DATARI-
Sup16,J.S. TRADERS-
Sup17,M.M (MOHD. ALI SHEIKH)-
Sup18,GREEN FIELD ENTERPRISES-
Sup19,V.M CO. (IRRI-6)-
Sup20,SHAHID ADM-
Sup21,ANEED JATOI-
Sup22,HYDERABAD TRADERS IRRI-6-
Sup23,SALEEM MUSTUFA IRRI-6-
Sup24,MESKEY & FEMETY TRADING CO. (PVT.) LTD.-
Sup25,RAJA LALCHAND-
Sup26,UTTAM CHAND-
Sup27,GREEN FIELD / KOHINOOR RICE MILL-
Sup28,SONERI BROKER-
Sup29,PASSCO IRRI-6 RICE SUPPLIER-
Sup30,ROYAL BROKER-
Sup31,ARIF ZAKARIA (IRRI-6)-
Sup32,SHALIMAR RICE-
Sup33,RAUF-
Sup34,RAUF II-
Sup35,SHEIKHUPURA IRRI-6-
Sup36,TAUQEER (IRRI-6)-
Sup37,SB GRAIN-
Sup38,ND RICE BROKER-
Sup39,R.B INTERNATIONAL-
Sup40,IRFAN NOMAN BERNAS (PVT.) LTD.-
Sup41,CHOKE AZAM (LAYYAH1) RICE TRANSFER GS AC (IRRI-6)-
Sup42,GHAROO RICE CREDITORS (PURCHASES) (IRRI-6 ) AC-
Sup43,SUMEET KHETPUL-
Sup44,DELIP JILLANI RICE-
Sup45,GOLARCHI RICE TRANSFER GS AC (IRR-6)-
Sup46,FAHAD KHOSO (THULL) (PADDY/RICE) PURCHASE-
Sup47,AMAN TRADERS C/O SILVER-
Sup48,INDUS RICE MILL-
Sup49,HARSH ENTERPRISES-
Sup50,RICE PURCHASES (MANESH)-
Sup51,RICE PURCHASES (SURESH)-
Sup52,RICE PURCHASES (MAKKAH RICE MILL GOLARCHI)-
Sup53,KOHINOOR BROKER (IRRI-6)-
Sup54,SURESH MATLI-
Sup55,MANESH RICE MILL (IRRI-6)-
Sup56,MUSTUFA BAWANI-
Sup57,HAJI SALEH-
Sup58,MILLAT RICE TRADERS-
Sup59,MAKKAH RICE MILL GOLARCHI-
Sup60,BHARAT BROKER (IRRI-6)-
Sup61,MISC RICE PARTIES IRRI-6-
Sup62,TABBAR COMMODITIES (ABBAS JABBAR)-
Sup63,ALTAF BROKER IRRI-6-
Sup64,ALWAYS GREEN ENTERPRISE-
Sup65,RP BROKER-
Sup66,BABA FAREED RICE MILL-
Sup67,GARIBSONS FERTILIZER MATLI-
Sup68,JAVED JILANI (IRRI-6)-
Sup69,LUCKY BROKER (OTHERS)-
Sup70,ARIF ZAKARIA- PAYABLE AC- OTHERS-
Sup71,ZULKARNAIN BROKER (OTHERS)-
Sup72,JS COMMODITIES-
Sup73,MUSTAFA BAWANI (OTHERS)-
Sup74,SKP-1 RICE TRANSFER GS AC (OTHERS)-
Sup75,ATEEQ UR REHMAN-
Sup76,ABDUL WAHAB BROKER-
Sup77,ASHFAQ GHAFFAR (OTHERS)-
Sup78,SHERAZ ENTERPRISES (OTHERS)-
Sup79,M.AFZAL (MUREED KAY)-
Sup80,SANAULLAH-
Sup81,ROYAL BROKER (OTHERS)-
Sup82,MIAN RICE TRADERS-
Sup83,AL HARMAIN C\O ARIF ZAKARIA-
Sup84,J.S TRADERS (OTHERS)-
Sup85,GHARO RICE TRNASFER GS AC (OTHER VARITIES)-
Sup86,RICE CREDITORS C\O HANIF-
Sup87,GREEN FIELD (OTHERS)-
Sup88,SILVER (OHTERS)-
Sup89,OWN RICE MILL-
Sup90,SHEIKHUPURA (LOCAL PURCHASES)-
Sup91,HAROON BROTHERS-
Sup92,GOOD LUCK CORPORATION-
Sup93,ABDUL RAZZAK-
Sup94,P.B HAMDARD-
Sup95,P.B SILVER-
Sup96,KUSHOMAL-
Sup97,NOBLE RICE MILL (OTHERS)-
Sup98,PASSCO (OTHERS)-
Sup99,M.M (OTHERS)-
Sup100,AHSAN BROKER-
Sup101,TAUQEER - OTHERS (FOB)-
Sup102,NADEEM ALAM-
Sup103,SALEEM MUSTUFA (OTHERS)-
Sup104,IMRAN BROKER OTHERS-
Sup105,CHOKE AZAM (LAYYAH1) RICE TRANSFER GS AC (OTHERS)-
Sup106,ENGRO EXIMPT AGRIPRODUCTS (PVT.) LTD.-
Sup107,SHUT OUT CARGO-
Sup108,PAKISTAN RICE TRADER-
Sup109,SAFDAR RICE CORPORATION C/O ARIF-
Sup110,SHAMS TRADERS C/O ARIF-
Sup111,NOOR UL AMIN-
Sup112,SARFRAZ AHMED C/O AB.W-
Sup113,ASHRAF C/O AB.W-
Sup114,AL SADIQ RICE TRADERS-
Sup115,MALIK SHABIR RICE MILL-
Sup116,CHEEMA RILCE MILL SHEIKHUPURA-
Sup117,GHULAM HUSSAIN TRADERS SHEIKHUPURA C/O A.WAHID-
Sup118,USAMA RICE MIIL PATTOKI-
Sup119,SIRAJ BROKER-
Sup120,BARKAT RICE MILL (GHULAM MURTUZA)-
Sup121,ASHRAF BROKER-
Sup122,SKP-2 (PINDIDAS) RICE TRANSFER GS AC (OTHERS)-
Sup123,CHOUBARA RICE SUPPLIER (GS-2) TAUQEER-
Sup124,P.B KOHINOOR BROKER-
Sup125,TAUQEER - OTHERS (C&F)-
Sup126,"ARSHAD TRADERS, MANDI BAHAUDDIN-"
Sup127,AL MAJEED RICE TRADERS-
Sup128,KOHINOOR BROKER (OTHERS)-
Sup129,GSM COMPANY (RICE)-
Sup130,SKP-2 (PINDIDAS) MUGHAL RICE TRANSFER-
